,DAI-USDC 500 10,LINK-WETH 3000 60,UNI-WETH 3000 60,USDC-USDT 500 10,USDC-WETH 3000 60,USDC-WETH 500 10,WBTC-PAX 3000 60,WBTC-USDC 3000 60,WBTC-WETH 3000 60,WETH-USDT 3000 60
 $0.06 ,,,,0.299535496,,,,,,
 $0.06 ,,,,,,,,,,20.27708037
 $0.06 ,,,,,,,,,,1.196347552
 $0.07 ,,,1.192769433,,,,,,,
 $0.07 ,,1.783808376,,,,,,,,
 $0.07 ,,,,,10.23675567,,,,,
 $0.07 ,,,,,3.535797028,,,,,
 $0.08 ,,,,,,,,,,98.42638146
 $0.08 ,,,,0.099945022,,,,,,
 $0.08 ,,,99.99999984,,,,,,,
 $0.08 ,,,,,,,,,,99.99011136
 $0.08 ,,,,,,,,,1.192769433,
 $0.08 ,,,,,,,,,,99.98999199
 $0.09 ,,,,,,,,,,14.44341367
 $0.09 ,,,,,,,,,49.23515519,
 $0.10 ,,,,,19.9075746,,,,,
 $0.10 ,,,,0.099945022,,,,,,
 $0.10 ,,,,1.192769433,,,,,,
 $0.10 ,,,,,,,,,,283.1409978
 $0.10 ,,,,,,0.199790154,,,,
 $0.10 ,,,,0.199890044,,,,,,
 $0.10 ,,,,1.399230308,25.76433752,,,3.535797028,,
 $0.10 ,,,,,,4.395383386,,,,
 $0.10 ,1.192769433,,,,,,,,,
 $0.10 ,0.498727207,,,,,,,,,
 $0.10 ,,,,0.099945022,,,,,,
 $0.10 ,,,,,3.535797028,,,,,
 $0.10 ,,,,,24.57156808,,,,,
 $0.11 ,,,,,,0.799160616,,,,
 $0.11 ,0.598173776,,,,,,,,,
 $0.11 ,,,,0.099945022,,,,,,
 $0.11 ,,,,,24.57156808,,,,,
 $0.11 ,,,,,,,,,,0.598173776
 $0.11 ,,,12.36532214,,,,,,,
 $0.11 ,,,12.36532214,,,,,,,
 $0.12 ,,,,,24.57156808,,,,,
 $0.12 ,,,10.23675567,,,,,,,
 $0.12 ,,,,0.099945022,,,,,,
 $0.12 ,,,,0.099945022,,,,,,
 $0.12 ,,,,0.099945022,,,,,,
 $0.13 ,,,,0.199890044,3.535797028,,,,,
 $0.13 ,,,,0.099945022,,,,,,
 $0.13 ,,,,,,0.199790154,,,,
 $0.13 ,,,,,,0.99895077,,,,
 $0.13 ,,,,,,19.987623,,,,
 $0.13 ,,,,,1.783808376,,,,,
 $0.13 ,,,,,,0.199790154,,,,
 $0.13 ,,,,0.299535496,,,,,,
 $0.13 ,,,,0.099945022,,,,,,
 $0.13 ,,,,0.099945022,,,,,,
 $0.13 ,,,,,1.783808376,,,,,
 $0.13 ,,,,0.099945022,,,,,,
 $0.13 ,,,,0.099945022,,,,,,
 $0.14 ,,,,0.099945022,,,,,,
 $0.14 ,,,,,1.192769433,,,,,
 $0.14 ,100,,,,,,,,,
 $0.14 ,,,,,1.783808376,,,,,
 $0.14 ,,,,,,0.099945022,,,,
 $0.14 ,,,95.66237451,,,,,,,
 $0.14 ,,,,0.099945022,,,,,,
